ID,VideoID,Title,YouTuber,Link,Duration,Train / Val,Mini / Full Set,Nation or Area (Inferred by GPT),"State, Province, or City (Inferred by GPT and refined by human)",Discarded Length at the Begininning (second),Discarded Length at the Ending (second)
11,-OyiiaxkkfU,4K DRIVE Maldonado URUGUAY 4k video UY driving Travel vlog,4K DRIVE,https://www.youtube.com/watch?v=-OyiiaxkkfU,15:47,Train,Full,Uruguay,Maldonado,90,60
12,-TPJot7-HTs,Buenos Aires 4K - Driving Downtown - Morning Drive,J Utah,https://www.youtube.com/watch?v=-TPJot7-HTs,49:09,Train,Full,Argentina,Buenos Aires,90,30
13,-Tm4H4CrKT0,[4K] Scenic Drive Point Mugu - Malibu - Santa Monica via Pacific Coast Highway California 1 South,Wind Walk Travel Videos ?,https://www.youtube.com/watch?v=-Tm4H4CrKT0,1:02:52,Train,Full,United States of America,California,90,30
14,-X_lyIV76Ek,Driving In Changsha From Yuelu District To Tianxin District,Walk East,https://www.youtube.com/watch?v=-X_lyIV76Ek,37:26,Train,Full,China,Hunan,180,30
15,-YNLQlmPnqA,Tokyo 4K - Skyscraper District - Driving Downtown,J Utah,https://www.youtube.com/watch?v=-YNLQlmPnqA,36:10,Train,Full,Japan,Tokyo,90,30
16,-Z9IX-mPKeQ,Driving Downtown - Portland 4K - Oregon USA,J Utah,https://www.youtube.com/watch?v=-Z9IX-mPKeQ,28:33,Train,Full,United States of America,Oregon,90,30
17,-a7lCFvrlO4,"US 52 from Fancy Gap, Virginia to Mount Airy & Winston Salem, North Carolina, 4K Drive",takemytripdotcom,https://www.youtube.com/watch?v=-a7lCFvrlO4,1:08:11,Train,Full,United States of America,"Virginia, North Carolina",90,60
18,-b_oY5AgDmg,"Montgomery & Kenwood, Ohio 4K Street Tour - Driving Down Montgomery Rd.",Slipstream Motion Pictures Ltd. (Video Tours),https://www.youtube.com/watch?v=-b_oY5AgDmg,13:34,Train,Full,United States of America,Ohio,90,60
19,-cGGPqEi5QI,Miami Sunrise 4K HDR - Ambient Drive TV.,J Utah,https://www.youtube.com/watch?v=-cGGPqEi5QI,37:31,Train,Full,United States of America,Florida,90,30
20,-clREMCmlw4,Driving Downtown - Phillys Skyline 4K - USA,J Utah,https://www.youtube.com/watch?v=-clREMCmlw4,18:51,Train,Full,United States of America,Pennsylvania,90,30
21,-ft3lNcWWcI,"A fall drive over Loveland Pass and through the Eisenhower Tunnel, Colorado in 4K: Keystone, A-basin",takemytripdotcom,https://www.youtube.com/watch?v=-ft3lNcWWcI,45:57,Train,Full,United States of America,Colorado,90,60
22,-iSewsdMxkg,1674.8公里的长途旅行，横跨半个中国-重庆开车到上海,中国街景 Chinese Street View,https://www.youtube.com/watch?v=-iSewsdMxkg,17:08:56,Train,Full,China,"Chongqing, Hubei, Anhui, Zhejiang, Jiangsu, Shanghai",90,60
23,-j2jOZfnSio,D400 Part 2 Driving from Finike to Demre,Gezeyenti,https://www.youtube.com/watch?v=-j2jOZfnSio,21:47,Train,Full,Turkey,Antalya,90,30
24,-jJVi-UxL9Y,London 4K - Sunset Drive - Driving Downtown - Central London England,J Utah,https://www.youtube.com/watch?v=-jJVi-UxL9Y,1:08:30,Train,Full,United Kingdom,London,90,30
25,-lXkV00NogM,"Alpharetta, Georgia 4K Street Tour - Driving through North Point, Avalon, S Main St in Downtown",Slipstream Motion Pictures Ltd. (Video Tours),https://www.youtube.com/watch?v=-lXkV00NogM,19:32,Train,Full,United States of America,Georgia,90,60
26,-mvNRvgd9BA,"杭州钱塘区，一个围垦填江而来的城市｜A City Out of Reclamation - Qiantang District, Hangzhou driving -4K",Zhejiang Street Scenes,https://www.youtube.com/watch?v=-mvNRvgd9BA,1:10:47,Train,Full,China,Zhejiang,90,60
27,-p8Q_4BTr0o,Rainy day in New York City ? [4K 60fps] Driving tour,NYC Taxi Driver,https://www.youtube.com/watch?v=-p8Q_4BTr0o,2:00:45,Train,Full,United States of America,New York,90,60
28,-qcOC1SnB9A,"Cleveland, Ohio Lorain Ave. 4K Street Tour - Driving Through Loraine Ave City Blocks in Cleveland",Slipstream Motion Pictures Ltd. (Video Tours),https://www.youtube.com/watch?v=-qcOC1SnB9A,23:57,Train,Full,United States of America,Ohio,90,60
29,-sfQ2hOnUhw,杭州 - 义乌 高速驾驶 Hangzhou - Yiwu Expressway Driving -4K,Zhejiang Street Scenes,https://www.youtube.com/watch?v=-sfQ2hOnUhw,1:20:28,Train,Full,China,Zhejiang,90,60
30,-sr9cT8O-ms,"[Full Version] Driving California Pasadena, Colorado Boulevard, Historic Route 66 & Old Pasadena, 4K",THE TABLE,https://www.youtube.com/watch?v=-sr9cT8O-ms,1:04:55,Train,Full,United States of America,California,90,60
31,-ul8AdvzNcA,"青海花海公路驾驶｜Driving on Huahai Highway in Menyuan County, Qinghai Province - 4K",Zhejiang Street Scenes,https://www.youtube.com/watch?v=-ul8AdvzNcA,15:27,Train,Full,China,Qinghai,90,60
32,-upQM1bF0Jw,Driving Melrose Ave to Los Angeles Airport LAX,omw,https://www.youtube.com/watch?v=-upQM1bF0Jw,59:31,Train,Full,United States of America,California,90,30
33,-wupeqKEmKw,"Henderson, Las Vegas, and the drive up Interstate 15 to Mesquite, Nevada, in 4K",takemytripdotcom,https://www.youtube.com/watch?v=-wupeqKEmKw,1:24:20,Train,Full,United States of America,Nevada,90,60
34,-x_belGP-4Y,San Antonio TX 4K - Relaxing Ride Driving Downtown,The Traveler : Relaxing Videos,https://www.youtube.com/watch?v=-x_belGP-4Y,1:07:35,Train,Full,United States of America,Texas,90,30
35,-ygyEQjnc9s,[4K] Newport Beach Balboa Peninsula Orange County CA ASMR,omw,https://www.youtube.com/watch?v=-ygyEQjnc9s,35:40,Train,Full,United States of America,California,90,30
36,-ymvKWwigoo,"[Full Version] Driving California Palos Verdes, San Pedro, Interstate 110 FWY, San Pedro to Pasadena",THE TABLE,https://www.youtube.com/watch?v=-ymvKWwigoo,1:05:23,Train,Full,United States of America,California,90,60
37,0-sg5aVE_7U,Los Angeles 4K - Griffith Park - Driving Downtown USA,J Utah,https://www.youtube.com/watch?v=0-sg5aVE_7U,28:48,Train,Full,United States of America,California,90,30
38,01E_6NfmQ10,Tokyo 4K - Driving Downtown - Japan 東京 日本,J Utah,https://www.youtube.com/watch?v=01E_6NfmQ10,1:03:13,Train,Full,Japan,Tokyo,90,30
39,01rFTS-dEpo,"Eastbound through Glenwood Canyon on Interstate 70, Colorado",takemytripdotcom,https://www.youtube.com/watch?v=01rFTS-dEpo,1:02:42,Train,Full,United States of America,Colorado,90,60
40,05ODxwfWrvM,Istanbul Traffic Jam- Experience Traffic Congestion in 4k,Gezeyenti,https://www.youtube.com/watch?v=05ODxwfWrvM,11:55,Train,Full,Turkey,Istanbul,90,30
41,05OMm-ZSkS4,[4K] McKinney Ave. Dallas Virtual Drive,In Motion Travel Tours,https://www.youtube.com/watch?v=05OMm-ZSkS4,11:23,Train,Full,United States of America,Texas,90,60
42,05WCfxFHyjc,[4K] DISNEYLAND🇺🇸 DRIVING TOUR | Downtown Anaheim | California | USA,MC75,https://www.youtube.com/watch?v=05WCfxFHyjc,44:35,Train,Full,United States of America,California,90,60
43,0Bkp_afOO10,[4K] Red Rock Canyon in Las Vegas USA - Scenic Driving - Relaxing Nature Scenery,Wind Walk Travel Videos ?,https://www.youtube.com/watch?v=0Bkp_afOO10,33:09,Train,Full,United States of America,Nevada,90,30
44,0C_UJ2rDv2A,"Scenic Colorado Highway 149 - the drive to Lake City from US 50, in beautiful 4K",takemytripdotcom,https://www.youtube.com/watch?v=0C_UJ2rDv2A,58:39,Train,Full,United States of America,Colorado,90,60
45,0Cd5lyR_Vdc,Driving Downtown - Arlington DC 4K - USA,J Utah,https://www.youtube.com/watch?v=0Cd5lyR_Vdc,10:47,Train,Full,United States of America,Washington,90,30
46,0DnMpvp8PeE,4K DRIVE Buenos Aires BA ARGENTINA 4K video AR GoPro Hero 9,4K DRIVE,https://www.youtube.com/watch?v=0DnMpvp8PeE,15:22,Train,Full,Argentina,Buenos Aires,90,60
47,0GG-8IgJQ8M,驾车穿越秦岭大敷峪，一路景色震撼人心-4K HDR,中国街景 Chinese Street View,https://www.youtube.com/watch?v=0GG-8IgJQ8M,36:43,Train,Full,China,Shaanxi,90,60
48,0HM1vXsyk6U,Driving full circle around Manhattan,NYC Taxi Driver,https://www.youtube.com/watch?v=0HM1vXsyk6U,53:07,Train,Full,United States of America,New York,90,60
49,0KZ1y4tHJr0,JACKSONVILLE FL DRIVE TOWARDS DOWNTOWN - FLORIDA 4K 2023 @4kDRIVETOUR,4k DRIVE TOUR,https://www.youtube.com/watch?v=0KZ1y4tHJr0,30:06,Train,Full,United States of America,Florida,90,30
50,0KaSvilApmY,4K DRIVE Montevideo Uruguay 4K video GoPro Hero 9 DRIVING,4K DRIVE,https://www.youtube.com/watch?v=0KaSvilApmY,8:56,Train,Full,Uruguay,Montevideo,90,60
51,0N70_QFa5as,California Dreaming Epic Sunset Drive Venice Beach Culver City Los Angeles Relaxing HDR 60fps.,Sunset Drive California,https://www.youtube.com/watch?v=0N70_QFa5as,58:19,Train,Full,United States of America,California,90,30
52,0NCUHYLj2mw,Boston 4K - Commonwealth Streetcars - Driving Downtown USA,J Utah,https://www.youtube.com/watch?v=0NCUHYLj2mw,22:57,Train,Full,United States of America,Massachusetts,90,30
53,0PBS2ssplzI,Driving San Diego California 4K Oceanside to La Jolla Sunset Ending,Sunset Drive California,https://www.youtube.com/watch?v=0PBS2ssplzI,1:50:12,Train,Full,United States of America,California,90,30
54,0T8U1fB9WZg,"A Drive on the Enchanted Highway to Regent, North Dakota: One Man's Amazing Scrap Metal Sculptures",takemytripdotcom,https://www.youtube.com/watch?v=0T8U1fB9WZg,44:43,Train,Full,United States of America,North Dakota,90,60
55,0X2Y_nkYCJw,"Driving in China, on the most perfect expressway system, Shenzhen to Jiangmen｜4K HDR",Driving in China,https://www.youtube.com/watch?v=0X2Y_nkYCJw,1:40:11,Train,Full,China,Guangdong,180,60
56,0dpn2j2QYp8,Philadelphia 4K - Driving Downtown USA,J Utah,https://www.youtube.com/watch?v=0dpn2j2QYp8,30:11,Train,Full,United States of America,Pennsylvania,90,30
57,0ePMfd80Pt4,4K DRIVE Punta del ESTE 2021 Uruguay 4k video UY Travel vlog,4K DRIVE,https://www.youtube.com/watch?v=0ePMfd80Pt4,17:45,Train,Full,Uruguay,Punta del Este,90,60
58,0lB0hTYZ1Ek,4K DRIVE Punta Colorada a PIRIAPOLIS Maldonado Uruguay vlog,4K DRIVE,https://www.youtube.com/watch?v=0lB0hTYZ1Ek,21:13,Train,Full,Uruguay,Maldonado,90,60
59,0leZU2J1V-s,4Kdrive東京 559km 2022年8月,guruguru,https://www.youtube.com/watch?v=0leZU2J1V-s,1:49:04,Train,Full,Japan,Tokyo,90,30
60,0o8PlX0JUn0,Mumbai 4K - Sunset Drive - Miami Vibe - India,J Utah,https://www.youtube.com/watch?v=0o8PlX0JUn0,58:50,Train,Full,India,Maharashtra,90,30
61,0pJjoTVnpnM,"[4K] LOS ANGELES🇺🇸 Driving Downtown Los Angeles - Hill St, K-town, Los Angeles, California",MC75,https://www.youtube.com/watch?v=0pJjoTVnpnM,28:04,Train,Full,United States of America,California,90,60
62,0uOWlH51JOU,4Kdrive東京 154km 2022年6月,guruguru,https://www.youtube.com/watch?v=0uOWlH51JOU,38:18,Train,Full,Japan,Tokyo,90,30
63,0vnncJ0E_hA,[4K] Los Angeles - Beverly Blvd Entire Length Westlake to Beverly Hills Westbound,omw,https://www.youtube.com/watch?v=0vnncJ0E_hA,38:31,Train,Full,United States of America,California,90,30
64,11BIgIMkDDM,[4K] Driving in downtown Austin Texas,In Motion Travel Tours,https://www.youtube.com/watch?v=11BIgIMkDDM,26:07,Train,Full,United States of America,Texas,90,60
66,13zAbjYvG30,Downtown Changsha Driving From Morning To Evening Hunan Province China 湖南长沙,Walk East,https://www.youtube.com/watch?v=13zAbjYvG30,46:48,Train,Full,China,Hunan,180,30
67,15hGMr36rdI,Driving Downtown - Bronx Little Italy 4K - New York City USA,J Utah,https://www.youtube.com/watch?v=15hGMr36rdI,5:36,Train,Full,United States of America,New York,90,30
68,1Ay6ZVsxgZ4,深圳驾车之旅，白天和夜景，从西到东，繁华似锦｜4K,Memery World 中国记忆,https://www.youtube.com/watch?v=1Ay6ZVsxgZ4,1:55:47,Train,Full,China,Guangdong,180,30
69,1CwPE3__9VI,Driving in San Francisco downtown to Golden Gate Bridge The Painted Ladies SF Downtown 4K,City Driving Tour,https://www.youtube.com/watch?v=1CwPE3__9VI,1:11:18,Train,Full,United States of America,California,90,30
70,1FsWMwP7byM,CHICAGO DuSable Lake Shore Drive N Sheridan Road Chinatown Chicago.,City Driving Tour,https://www.youtube.com/watch?v=1FsWMwP7byM,30:45,Train,Full,United States of America,Illinois,90,30
71,1GF2ogAVs7U,"Driving around beautiful Crested Butte, Colorado in Fall, 4K",takemytripdotcom,https://www.youtube.com/watch?v=1GF2ogAVs7U,20:14,Train,Full,United States of America,Colorado,90,60
72,1Gexr4rtawI,La Verne California - Driving at Sunset - Route 66 Los Angeles Relaxing Immersive HDR 60fps.,Sunset Drive California,https://www.youtube.com/watch?v=1Gexr4rtawI,25:51,Train,Full,United States of America,California,90,30
73,1ICEZAO-lqw,Driving Downtown - Detroits Main Street 4K - USA,J Utah,https://www.youtube.com/watch?v=1ICEZAO-lqw,9:37,Train,Full,United States of America,Michigan,90,30
74,1J9RkxOugYg,Driving to Istanbul Belgrad Forest-Istanbul Travel Guide,Gezeyenti,https://www.youtube.com/watch?v=1J9RkxOugYg,33:14,Train,Full,Turkey,Istanbul,90,30
75,1M7DAyHII4E,Car Drive 4K - Montafon (Bludenz - Lorüns - Schruns - Tschagguns - Latschau) Piano Sounds,Relaqs Relaxation,https://www.youtube.com/watch?v=1M7DAyHII4E,25:59,Train,Full,Austria,Alps,90,60
76,1NxGQ1ZDDfk,Fort Lauderdale Downtown driving tour Florida USA,City Driving Tour,https://www.youtube.com/watch?v=1NxGQ1ZDDfk,36:01,Train,Full,United States of America,Florida,90,30
77,1ObALKmvLTE,Seattle 4K - Sunset Drive - USA,J Utah,https://www.youtube.com/watch?v=1ObALKmvLTE,40:17,Train,Full,United States of America,Washington,90,30
78,1Pb3n4MkVy4,Driving Downtown - Greenwich Village 4K - New York City USA,J Utah,https://www.youtube.com/watch?v=1Pb3n4MkVy4,14:33,Train,Full,United States of America,New York,90,30
79,1Vzxi2GhaF4,"Billings to Forsyth, Eastbound Across Montana on Interstates 90 and 94, scenic drive in 4K real-time",takemytripdotcom,https://www.youtube.com/watch?v=1Vzxi2GhaF4,1:28:11,Train,Full,United States of America,Montana,90,60
80,1_-wUm4Dtug,"Let's do some Sedona exploring! Sedona Airport, Back o' Beyond Road, Schnebly Hill driving tour 4K",takemytripdotcom,https://www.youtube.com/watch?v=1_-wUm4Dtug,31:26,Train,Full,United States of America,Arizona,90,60
81,1_XdB2hYvLY,滨海度假旅游城市青岛驾车环游，欣赏那红墙绿树，碧海蓝天｜4K,Memery World 中国记忆,https://www.youtube.com/watch?v=1_XdB2hYvLY,2:00:49,Train,Full,China,Shandong,180,30
82,1jGcJgXA1h4,4K DRIVE Punta del ESTE Uruguay 4k video TRAVEL vlog GoPro 9,4K DRIVE,https://www.youtube.com/watch?v=1jGcJgXA1h4,9:14,Train,Full,Uruguay,Punta del Este,90,60
83,1rd6cX40nQU,Driving Downtown - Los Angeles Grand Avenue 4K - USA,J Utah,https://www.youtube.com/watch?v=1rd6cX40nQU,11:03,Train,Full,United States of America,California,90,30
84,1u_1dsK-yJo,Lake Tahoe 4K - Ocean in the Sky - Scenic Drive,J Utah,https://www.youtube.com/watch?v=1u_1dsK-yJo,54:50,Train,Full,United States of America,California,90,30
85,1vP3AE978u4,Driving Downtown - Broadway 4K - New York City USA,J Utah,https://www.youtube.com/watch?v=1vP3AE978u4,37:07,Train,Full,United States of America,New York,90,30
86,1yMXLoeKl70,New Mexico to Colorado 4K Scenic Drive through North New Mexico,The Traveler : Relaxing Videos,https://www.youtube.com/watch?v=1yMXLoeKl70,55:48,Train,Full,United States of America,New Mexico,90,30
87,2-2ZzcWLtS8,Johannesburg 4K - The City of Gold - Driving Downtown - South Africa,J Utah,https://www.youtube.com/watch?v=2-2ZzcWLtS8,31:35,Train,Full,South Africa,Johannesburg,90,30
88,20E0fE6tGE8,Paris 4K - Morning Drive - Driving Downtown,J Utah,https://www.youtube.com/watch?v=20E0fE6tGE8,33:18,Train,Full,France,Paris,90,30
89,20qwjwIp5cY,New York City 4K HDR - Manhattan & Brooklyn - Driving Downtown.,J Utah,https://www.youtube.com/watch?v=20qwjwIp5cY,30:51,Train,Full,United States of America,New York,90,30
90,21JHy6jn0r0,Drive Through Briar Chapel Neighborhood Driving Sounds for Sleep and Study,Relaxing Walks,https://www.youtube.com/watch?v=21JHy6jn0r0,26:52,Train,Full,United States of America,North Carolina,90,30
91,25EgbhdVESE,Driving Downtown - Beverly Hills 4K - USA,J Utah,https://www.youtube.com/watch?v=25EgbhdVESE,45:40,Train,Full,United States of America,California,90,30
92,26_9x6sEj2Y,Tampa 4K - Night Drive,J Utah,https://www.youtube.com/watch?v=26_9x6sEj2Y,45:14,Train,Full,United States of America,Florida,90,30
93,26e9wCLZGc4,"Driving in New Albany, Ohio - USA",Slipstream Motion Pictures Ltd. (Video Tours),https://www.youtube.com/watch?v=26e9wCLZGc4,6:24,Train,Full,United States of America,Ohio,90,60
94,26wFvk8FxxI,Griffith Observatory to Angels Point - Driving at Sunset - Los Angeles California I HDR 60fps.,Sunset Drive California,https://www.youtube.com/watch?v=26wFvk8FxxI,34:36,Train,Full,United States of America,California,90,30
95,29ccKPPxN8g,4K_ Seoul South Korea Drive Jongno - Anguk-dong - Dobong _ ???? ???? ????! 韓国ソウルでドライブ,"Love, Drive, Travel Drive with me in Korea",https://www.youtube.com/watch?v=29ccKPPxN8g,41:25,Train,Mini,Republic of Korea,Seoul,90,30
96,2A0NNRQBy0E,【4K】東京ドライブTOKYO DRIVE277km2023年2月,guruguru,https://www.youtube.com/watch?v=2A0NNRQBy0E,53:21,Train,Full,Japan,Tokyo,90,30
97,2Ep42KBCCpk,Driving Downtown Guiyang Not The Poorest Province of China Any More Guizhou China,Walk East,https://www.youtube.com/watch?v=2Ep42KBCCpk,1:34:00,Train,Full,China,Guizhou,180,30
98,2HUmatlO958,4K Driving in the Snow - Chicago - Bucktown Neighborhood - USA,USA Thrill,https://www.youtube.com/watch?v=2HUmatlO958,25:43,Train,Full,United States of America,Illinois,90,30
99,2J8U1QrEJ90,在这个浑浊而又清澈的冬季，北京三环线驾车环游｜4K,Memery World 中国记忆,https://www.youtube.com/watch?v=2J8U1QrEJ90,57:21,Train,Full,China,Beijing,180,30
100,2JC60l1rtIA,[4K] Beverly Hills - Rodeo Drive Christmas Holiday Decorations ASMR,omw,https://www.youtube.com/watch?v=2JC60l1rtIA,24:37,Train,Full,United States of America,California,90,30
101,2JqPLmCzElM,Driving Downtown - Hills Of San Francisco 4K - USA,J Utah,https://www.youtube.com/watch?v=2JqPLmCzElM,22:50,Train,Full,United States of America,California,90,30
102,2NFgnlsVu8s,Driving Downtown San Diego | California USA [4K UHD 60],Road Therapy,https://www.youtube.com/watch?v=2NFgnlsVu8s,58:40,Train,Full,United States of America,California,90,60
103,2TDNKDgnIWs,[4K] Beverly Hills - The Flats Residential Rodeo Drive Beverly Drive Luxury Mansions,omw,https://www.youtube.com/watch?v=2TDNKDgnIWs,1:10:37,Train,Full,United States of America,California,90,30
104,2TKhfRIb0Hg,Driving Downtown - Cincinnatis Main Street 4K - USA,J Utah,https://www.youtube.com/watch?v=2TKhfRIb0Hg,7:01,Train,Full,United States of America,Ohio,90,30
105,2VaGeDQ9WCA,4K DRIVE Buenos Aires ARGENTINA 4K video Belgrano Avenue BA,4K DRIVE,https://www.youtube.com/watch?v=2VaGeDQ9WCA,11:16,Train,Full,Argentina,Buenos Aires,90,60
106,2Ym5Ysocqz4,"Driving Outside of Dayton, Ohio - Suburb of Kettering, Ohio Area [4K]",Slipstream Motion Pictures Ltd. (Video Tours),https://www.youtube.com/watch?v=2Ym5Ysocqz4,11:28,Train,Full,United States of America,Ohio,90,60
107,2ZovfzFXVUM,Los Angeles CA - 4K HDR - Relaxing Ride driving Santa Monica blvd to Downtown LA,The Traveler : Relaxing Videos,https://www.youtube.com/watch?v=2ZovfzFXVUM,1:22:19,Train,Full,United States of America,California,90,30
108,2b3bbKcKIFA,"Driving in Shenzhen, China, Night Driving Tour｜4K HDR",Driving in China,https://www.youtube.com/watch?v=2b3bbKcKIFA,42:21,Train,Mini,China,Guangdong,180,60
109,2fnlkhtBORw,FLORIDA 4K - JACKSONVILLE - SCENIC DRIVING,4k DRIVE TOUR,https://www.youtube.com/watch?v=2fnlkhtBORw,35:00,Train,Full,United States of America,Florida,90,30
110,2hDvEJcpVDs,"Montana's Loneliest Road in Real-Time: MT 200 from Circle to Jordan, Grass Range, Lewistown in 4K",takemytripdotcom,https://www.youtube.com/watch?v=2hDvEJcpVDs,3:16:33,Train,Full,United States of America,Montana,90,60
111,2hlvLm-nwDs,[4K] LOS ANGELES🇺🇸 Driving Tour | WILSHIRE BLVD | California,MC75,https://www.youtube.com/watch?v=2hlvLm-nwDs,1:03:53,Train,Full,United States of America,California,90,60
112,2irLuq30u08,Driving Downtown Los Angeles - USA - 4k,Road Therapy,https://www.youtube.com/watch?v=2irLuq30u08,49:48,Train,Full,United States of America,California,90,60
113,2ln26peHX-A,"Muncie, Indiana 4K Street Tour - Filming Interrupted By Police Escort - The Home of Ball State Univ.",Slipstream Motion Pictures Ltd. (Video Tours),https://www.youtube.com/watch?v=2ln26peHX-A,29:26,Train,Full,United States of America,Indiana,90,60
114,2oNxkGnM3Bw,A snowy Oak Creek Canyon! Drive from Sedona up the Mogollon Rim on Arizona 89a in 4K,takemytripdotcom,https://www.youtube.com/watch?v=2oNxkGnM3Bw,34:31,Train,Full,United States of America,Arizona,90,60
115,3-Ff85qoVr0,London Drive 4K - Christmas Lights - UK,J Utah,https://www.youtube.com/watch?v=3-Ff85qoVr0,39:11,Train,Full,United Kingdom,London,90,30
116,30v2J7cnWX8,"Portofino to Rapallo, Italy | 4K Italian Riviera | Part 2",The Driving Channel,https://www.youtube.com/watch?v=30v2J7cnWX8,17:11,Train,Full,Italy,"Portofino, Rapallo",90,60
117,33uJLLR-Z90,4K DRIVE Buenos Aires vlog ARGENTINA 4k video GoPro Hero 9,4K DRIVE,https://www.youtube.com/watch?v=33uJLLR-Z90,8:48,Train,Full,Argentina,Buenos Aires,90,60
118,34VnnzK7bHo,郴州市驾车之旅-南与广东毗邻，湖南省最南端的城市-4K HDR,中国街景 Chinese Street View,https://www.youtube.com/watch?v=34VnnzK7bHo,1:10:33,Train,Full,China,Hunan,90,60
119,35xk5JGNgHA,[4K] LOS ANGELES🇺🇸 Driving Tour - Beverly Blvd | Downtown La | California,MC75,https://www.youtube.com/watch?v=35xk5JGNgHA,36:38,Train,Full,United States of America,California,90,60
120,37AUCtx6Il0,[4K] Grindelwald to Interlaken Switzerland ???? Swiss Scenic Driving Tour Vacation Travel Guide,Wind Walk Travel Videos ?,https://www.youtube.com/watch?v=37AUCtx6Il0,30:27,Train,Full,Switzerland,"Grindelwald, Interlaken",90,30
121,37tgbFYzZao,Drive of University of North Carolina and Downtown Greensboro North Carolina,Relaxing Walks,https://www.youtube.com/watch?v=37tgbFYzZao,37:41,Train,Full,United States of America,North Carolina,90,30
122,39eKuBwiOv0,Sao Paulo 4K - Modern City Center - Driving Downtown - Brazil,J Utah,https://www.youtube.com/watch?v=39eKuBwiOv0,1:04:17,Train,Full,Brazil,Sao Paulo,90,30
123,39m34jviA20,[4K] SUNSET BOULEVARD🇺🇸 DRIVING TOUR | Los Angeles | California | USA,MC75,https://www.youtube.com/watch?v=39m34jviA20,39:23,Train,Full,United States of America,California,90,60
124,3ADA2ig7xkI,Drive through Istanbul Kad?k?y and üsküdar- Istanbul Travel Guide,Gezeyenti,https://www.youtube.com/watch?v=3ADA2ig7xkI,1:01:26,Train,Full,Turkey,Istanbul,90,30
125,3CeZ-SQoEO4,Drive through Istanbul Asian Side,Gezeyenti,https://www.youtube.com/watch?v=3CeZ-SQoEO4,57:40,Train,Full,Turkey,Istanbul,90,30
126,3E4HcpHpbZs,4K DRIVE Buenos Aires ARGENTINA Jacaranda trees 4k video,4K DRIVE,https://www.youtube.com/watch?v=3E4HcpHpbZs,13:40,Train,Full,Argentina,Buenos Aires,90,60
127,3MBraN2KrFg,4K DRIVE CATALINAS to LA BOCA Buenos Aires Argentina 4k video,4K DRIVE,https://www.youtube.com/watch?v=3MBraN2KrFg,28:17,Train,Full,Argentina,Buenos Aires,90,60
128,3MUH7E2Mzl0,Sunday Drive Along Country Roads During Spring USA Driving Sounds for Sleep and Study,Relaxing Walks,https://www.youtube.com/watch?v=3MUH7E2Mzl0,58:38,Train,Full,United States of America,"Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia",90,30
